NOMBRE;PRECIO;PANTALLA;DISCO;CPU;MEMORIA;VALORACION
"Cubierta Dura mCover Solamente Compatible con Notebook HP 15.6"" Serie 250 G7 / 15-DAxxxx / 15-DBxxxx (Tamaño: 37.6 x 24.6 x 2.25 cm) (Transparente)";812,21;[];[];[];[];4.7
Magedok Monitor Portátil 4k - OLED 13.3'' Monitor Portátil Pantalla Táctil, Monitor Portátil HDMI,100000:1, Freesync UHD IPS,100% DCI-P3 1ms Tragbarer Monitor für Laptop Smartphone Game Consoles, etc;2.534,99;24;[];[];[];5.0
VIEWSONIC VA2432-MHD - Monitor de 60 cm (24 pulgadas) (Full-HD, IPS-Panel, HDMI, DP, VGA, Eye-Care, Eco-Mode, altavoz) negro;1.399,99;15.6;SSD;3.5;3;4.5
THOMSON NEOX Laptop de 12,5 Pulgadas con Pantalla sin Marco de 2K, Intel Celeron 3865U, 4 GB de RAM, 64 GB de Almacenamiento y Windows 10 - Aluminio Rosa;944,99;12.5;[];2.4;4;3.2
"Lenovo IdeaPad 5 Pro Gen 6 - Portátil 16"" WQXGA (AMD Ryzen 5 5600H, 8GB RAM, 512GB SSD, NVIDIA GeForce GTX 1650-4GB, Windows 11 Pro) Gris - Teclado QWERTY Portugués";294,04;16;SSD;4.2;8;4.3
"Lenovo L15 - Monitor Portátil de 15.6"" (FHD, IPS, 60Hz, 6ms, 2xUSB-C, USB 2.0, Cable USB-C a USB-C) Ajuste de inclinación/Altura - Negro";2.398,76;[];[];[];[];4.6
Wnesy Computadora Portátil de 15,6 Pulgadas, 2.4G WiFi Home Laptop Multi-Port 1366x768 para Viajes (8+256G Enchufe de la UE);771,67;15.6;[];[];[];4.1
Surface Laptop 15 Csae Portátil Negro Carcasa de Ordenador;754,99;15.6;[];[];8;1.0
13.5IN W Surface Laptop 2 3:2 ACCS;999;17.3;SSD;4.6;1;4.4
"Acer Nitro 5 AN517-54-79L1 Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050Ti Laptop GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 1TB NVMe SSD | Killer Wi-Fi 6 | Backlit KB | Win 11";899;15.6;SSD;3.5;6;5.0
ASUS PORTATIL VIVOBOOK F1500EA-BQ3072 Black;399,99;15.6;SSD;[];[];4.6
Microsoft Surface Laptop 5 - Ordinateur Portable (Windows 11, écran Tactile 15‘, Processeur Intel Core i7, 8 Go RAM, 512 Go SSD, Clavier Français AZERTY) - Noir, Finition métal,RFB-00032;1.995,69;15;[];[];8;4.4
"MSI GP66 Leopard 11UG-075ES -- Ordenador portátil de 15.6"" FullHD 240Hz (Intel Core i7-11800H, 16GB de RAM, 1TB SSD, Nvidia RTX3070-8GB, Windows 10) Negro - Teclado QWERTY Español";2.249,99;15.6;SSD;2.3;1;4.5
Laptop, Pantalla Principal HD de 16 Pulgadas, Pantalla Secundaria Táctil de 14 Pulgadas, Computadora Portátil de Pantalla Doble, 32 GB de RAM, Estado Sólido de 128 GB, Batería de;865;16;[];[];3;5.0
"Lenovo ThinkPad L13 YOGA Gen 2 - Ordenador portátil 13.3"" FullHD (AMD Ryzen 5 PRO 5650U , 86GB RAM, 256 SSD, Integrated AMD Radeon Graphics, Windows 10 Pro) Negro - Teclado QWERTY español";39,22;75;SSD;[];8;5.0
"Rains Laptop Case 13"" Funda portátil, Adultos Unisex, 01 Black (Negro), Talla Única";449,99;15.6;SSD;3.4;[];
